type,time,raw
4,375,0
4,150,4
5,390,0
0,300,0
3,190,0
4,300,0
1,800,0
4,1020,0
4,270,0
0,420,0
2,600,0
3,470,0
0,301,0
3,210,0
3,155,0
0,190,0
0,335,0
3,250,0
4,490,1
4,150,0
0,315,0
4,187,5
0,242,0
0,40,1
0,125,0
4,404,0
4,145,0
0,267,0
3,315,0
4,90,1
4,210,1
0,450,0
0,150,0
4,90,10
4,190,0
5,590,0
0,160,0
4,495,0
3,70,0
0,140,0
0,270,0
3,270,0
4,315,0
4,600,0
0,360,0
0,476,0
4,60,4
0,675,0
0,150,0
4,240,0
4,190,0
0,240,0
0,170,1
4,210,0
3,65,0
0,291,0
0,50,0
3,355,0
3,175,0
3,522,0
1,595,0
0,201,0
4,855,0
4,480,0
4,450,6
4,315,0
0,295,0
0,220,0
3,175,0
0,240,0
0,160,0
3,245,0
4,480,0
0,185,5
0,90,0
4,210,1
4,150,1
0,185,0
0,285,0
0,195,0
4,420,0
1,601,0
0,165,0
0,185,0
6,495,0
4,810,0
5,271,1
0,210,0
0,240,0
4,200,1
0,90,1
0,470,0
5,275,0
3,215,0
3,220,0
0,80,0
0,110,5
3,255,0
0,270,0
4,285,0
3,260,0
0,120,1
0,295,0
4,210,0
4,201,0
0,243,0
3,220,0
4,1000,0
0,112,0
5,305,0
4,390,0
1,450,0
0,150,0
0,156,0
4,510,4
0,225,0
3,325,0
3,165,0
4,115,0
0,190,0
3,250,0
1,180,0
0,270,0
0,155,0
4,220,0
0,450,0
3,160,0
4,300,0
1,355,0
0,180,0
3,195,0
4,125,10
4,340,0
0,275,0
0,280,0
4,540,0
4,800,0
0,420,0
3,390,0
4,450,0
0,290,0
0,225,0
0,90,0
3,210,0
4,60,4
4,270,0
4,660,0
0,240,0
0,100,0
4,60,4
1,440,5
0,330,0
0,160,5
4,195,4
3,190,0
3,272,0
1,430,0
0,780,0
0,155,0
0,256,0
0,60,0
4,450,16
4,210,4
0,180,0
3,180,0
4,650,0
0,195,0
0,829,0
3,273,0
0,240,0
4,480,5
4,510,0
0,140,0
1,107,0
4,645,0
1,375,0
4,750,1
4,660,0
0,185,0
3,460,0
1,345,0
0,224,0
3,225,0
0,220,0
0,1440,0
0,340,0
4,600,0
4,380,0
3,335,0
0,657,0
5,480,0
1,451,6
4,820,0
0,180,0
0,240,0
3,360,0
3,492,0
0,215,0
4,510,0
0,360,0
0,310,0
4,740,0
3,330,0
3,380,0
6,480,0
3,405,0
0,225,0
4,510,0
3,453,0
0,310,0
4,690,0
1,185,0
4,510,0
0,325,0
0,292,0
4,210,0
0,345,0
0,220,0
3,150,0
6,21,5
0,42,0
3,430,0
3,290,0
0,200,0
4,690,0
3,364,0
0,340,0
0,75,0
1,180,0
6,140,0
0,170,0
0,180,0
0,105,0
4,60,4
3,230,0
0,172,0
4,495,16
0,330,0
0,150,0
3,195,0
4,330,4
0,255,0
0,165,0
3,130,0
3,275,0
4,450,0
3,330,0
0,220,0
0,382,0
0,195,0
0,440,0
3,842,0
3,368,0
0,480,0
3,150,0
0,140,0
6,120,16
1,61,16
4,540,0
3,300,0
0,240,0
3,510,0
3,300,0
4,270,0
4,480,0
3,150,0
3,245,0
5,410,0
0,120,0
4,346,0
4,450,4
0,375,0
0,270,0
0,171,0
4,240,0
2,600,0
3,290,0
3,135,0
4,240,0
4,90,1
0,75,0
0,301,0
3,106,0
1,545,0
0,470,0
0,340,0
4,310,0
3,460,0
3,135,0
4,165,0
0,70,1
3,210,0
1,150,0
0,225,0
4,420,0
1,240,0
3,155,0
3,300,0
0,600,0
4,450,0
0,75,0
0,240,0
3,135,0
0,95,1
0,128,0
1,185,0
0,135,0
3,150,0
4,240,4
0,270,0
0,215,0
0,215,0
4,345,1
3,231,0
0,235,0
4,185,0
4,150,0
0,215,0
0,120,0
4,440,0
1,60,11
0,170,0
4,120,10
0,220,0
0,50,5
4,559,0
3,270,0
4,270,0
3,540,5
0,220,0
0,435,0
2,780,0
1,367,0
3,480,0
3,150,0
0,120,0
3,405,0
4,230,0
0,390,0
3,255,0
4,450,0
0,310,0
0,580,0
0,390,0
0,215,0
4,212,0
3,230,0
3,210,0
4,315,0
0,170,0
0,115,1
0,285,0
3,195,0
0,500,0
4,405,0
0,695,0
0,205,0
3,310,0
4,120,1
5,227,0
4,150,1
4,510,0
0,105,0
0,257,0
3,185,0
0,385,0
0,345,0
